countryName;region_name;region_abb;office_location;ISO3
French Guyana;South America;SAm;Buenos Aires Argentina;GUF
Paraguay;South America;SAm;Buenos Aires Argentina;PRY
Peru;South America;SAm;Buenos Aires Argentina;PER
Uruguay;South America;SAm;Buenos Aires Argentina;URY
Venezuela;South America;SAm;Buenos Aires Argentina;VEN
Afghanistan;Asia and the Pacific;ASP;Bangkok Thailand;AFG
Australia;Asia and the Pacific;ASP;Bangkok Thailand;AUS
Bangladesh;Asia and the Pacific;ASP;Bangkok Thailand;BGD
Bhutan;Asia and the Pacific;ASP;Bangkok Thailand;BTN
Brunei Darussalam;Asia and the Pacific;ASP;Bangkok Thailand;BRN
Cambodia;Asia and the Pacific;ASP;Bangkok Thailand;KHM
China;Asia and the Pacific;ASP;Bangkok Thailand;CHN
China, Hong Kong Special Administrative Region;Asia and the Pacific;ASP;Bangkok Thailand;HKG
Democratic People's Republic of Korea;Asia and the Pacific;ASP;Bangkok Thailand;PRK
Federated States of Micronesia;Asia and the Pacific;ASP;Bangkok Thailand;FSM
Fiji;Asia and the Pacific;ASP;Bangkok Thailand;FJI
India;Asia and the Pacific;ASP;Bangkok Thailand;IND
Indonesia;Asia and the Pacific;ASP;Bangkok Thailand;IDN
Iran;Asia and the Pacific;ASP;Bangkok Thailand;IRN
Japan;Asia and the Pacific;ASP;Bangkok Thailand;JPN
Kiribati;Asia and the Pacific;ASP;Bangkok Thailand;KIR
Lao People's Democratic Republic;Asia and the Pacific;ASP;Bangkok Thailand;LAO
Malaysia;Asia and the Pacific;ASP;Bangkok Thailand;MYS
Maldives;Asia and the Pacific;ASP;Bangkok Thailand;MDV
Marshall Islands;Asia and the Pacific;ASP;Bangkok Thailand;MHL
Mongolia;Asia and the Pacific;ASP;Bangkok Thailand;MNG
Myanmar;Asia and the Pacific;ASP;Bangkok Thailand;MMR
Nauru;Asia and the Pacific;ASP;Bangkok Thailand;NRU
Nepal;Asia and the Pacific;ASP;Bangkok Thailand;NPL
New Zealand;Asia and the Pacific;ASP;Bangkok Thailand;NZL
Pakistan;Asia and the Pacific;ASP;Bangkok Thailand;PAK
Palau;Asia and the Pacific;ASP;Bangkok Thailand;PLW
Papua New Guinea;Asia and the Pacific;ASP;Bangkok Thailand;PNG
Philippines;Asia and the Pacific;ASP;Bangkok Thailand;PHL
Republic of Korea;Asia and the Pacific;ASP;Bangkok Thailand;KOR
Samoa;Asia and the Pacific;ASP;Bangkok Thailand;WSM
Singapore;Asia and the Pacific;ASP;Bangkok Thailand;SGP
Solomon Islands;Asia and the Pacific;ASP;Bangkok Thailand;SLB
Sri Lanka;Asia and the Pacific;ASP;Bangkok Thailand;LKA
Thailand;Asia and the Pacific;ASP;Bangkok Thailand;THA
Timor-Leste;Asia and the Pacific;ASP;Bangkok Thailand;TLS
Tonga;Asia and the Pacific;ASP;Bangkok Thailand;TON
Tuvalu;Asia and the Pacific;ASP;Bangkok Thailand;TUV
Vanuatu;Asia and the Pacific;ASP;Bangkok Thailand;VUT
Viet Nam;Asia and the Pacific;ASP;Bangkok Thailand;VNM
Andorra;European Economic Area;EEA;Brussels Belgium;AND
Austria;European Economic Area;EEA;Brussels Belgium;AUT
Belgium;European Economic Area;EEA;Brussels Belgium;BEL
Bulgaria;European Economic Area;EEA;Brussels Belgium;BGR
Cyprus;European Economic Area;EEA;Brussels Belgium;CYP
Czech Republic;European Economic Area;EEA;Brussels Belgium;CZE
Denmark;European Economic Area;EEA;Brussels Belgium;DNK
Estonia;European Economic Area;EEA;Brussels Belgium;EST
Finland;European Economic Area;EEA;Brussels Belgium;FIN
France;European Economic Area;EEA;Brussels Belgium;FRA
Germany;European Economic Area;EEA;Brussels Belgium;DEU
Greece;European Economic Area;EEA;Brussels Belgium;GRC
Holy See;European Economic Area;EEA;Brussels Belgium;VAT
Hungary;European Economic Area;EEA;Brussels Belgium;HUN
Iceland;European Economic Area;EEA;Brussels Belgium;ISL
Ireland;European Economic Area;EEA;Brussels Belgium;IRL
Italy;European Economic Area;EEA;Brussels Belgium;ITA
Latvia;European Economic Area;EEA;Brussels Belgium;LVA
Liechtenstein;European Economic Area;EEA;Brussels Belgium;LIE
Lithuania;European Economic Area;EEA;Brussels Belgium;LTU
Luxembourg;European Economic Area;EEA;Brussels Belgium;LUX
Malta;European Economic Area;EEA;Brussels Belgium;MLT
Monaco;European Economic Area;EEA;Brussels Belgium;MCO
Netherlands;European Economic Area;EEA;Brussels Belgium;NLD
Norway;European Economic Area;EEA;Brussels Belgium;NOR
Poland;European Economic Area;EEA;Brussels Belgium;POL
Portugal;European Economic Area;EEA;Brussels Belgium;PRT
Romania;European Economic Area;EEA;Brussels Belgium;ROM
San Marino;European Economic Area;EEA;Brussels Belgium;SMR
Slovakia;European Economic Area;EEA;Brussels Belgium;SVK
Slovenia;European Economic Area;EEA;Brussels Belgium;SVN
Spain;European Economic Area;EEA;Brussels Belgium;ESP
Sweden;European Economic Area;EEA;Brussels Belgium;SWE
