contry_name;region_name;region_abb;office_location
Cambodia;Asia and the Pacific;ASP;Bangkok Thailand
China, including Hong Kong Special Administrative Region;Asia and the Pacific;ASP;Bangkok Thailand
Democratic People's Republic of Korea;Asia and the Pacific;ASP;Bangkok Thailand
Federated States of Micronesia;Asia and the Pacific;ASP;Bangkok Thailand
Fiji;Asia and the Pacific;ASP;Bangkok Thailand
India;Asia and the Pacific;ASP;Bangkok Thailand
Indonesia;Asia and the Pacific;ASP;Bangkok Thailand
Iran;Asia and the Pacific;ASP;Bangkok Thailand
Japan;Asia and the Pacific;ASP;Bangkok Thailand
Kiribati;Asia and the Pacific;ASP;Bangkok Thailand
Lao People's Democratic Republic;Asia and the Pacific;ASP;Bangkok Thailand
Malaysia;Asia and the Pacific;ASP;Bangkok Thailand
Maldives;Asia and the Pacific;ASP;Bangkok Thailand
Marshall Islands;Asia and the Pacific;ASP;Bangkok Thailand
Mongolia;Asia and the Pacific;ASP;Bangkok Thailand
Myanmar;Asia and the Pacific;ASP;Bangkok Thailand
Nauru;Asia and the Pacific;ASP;Bangkok Thailand
Nepal;Asia and the Pacific;ASP;Bangkok Thailand
New Zealand;Asia and the Pacific;ASP;Bangkok Thailand
Pakistan;Asia and the Pacific;ASP;Bangkok Thailand
Palau;Asia and the Pacific;ASP;Bangkok Thailand
Papua New Guinea;Asia and the Pacific;ASP;Bangkok Thailand
Philippines;Asia and the Pacific;ASP;Bangkok Thailand
Republic of Korea;Asia and the Pacific;ASP;Bangkok Thailand
Samoa;Asia and the Pacific;ASP;Bangkok Thailand
Singapore;Asia and the Pacific;ASP;Bangkok Thailand
Solomon Islands;Asia and the Pacific;ASP;Bangkok Thailand
Sri Lanka;Asia and the Pacific;ASP;Bangkok Thailand
Thailand;Asia and the Pacific;ASP;Bangkok Thailand
Timor-Leste;Asia and the Pacific;ASP;Bangkok Thailand
Tonga;Asia and the Pacific;ASP;Bangkok Thailand
Tuvalu;Asia and the Pacific;ASP;Bangkok Thailand
Vanuatu;Asia and the Pacific;ASP;Bangkok Thailand
Viet Nam;Asia and the Pacific;ASP;Bangkok Thailand
Andorra;European Economic Area;EEA;Brussels Belgium
Austria;European Economic Area;EEA;Brussels Belgium
Belgium;European Economic Area;EEA;Brussels Belgium
Bulgaria;European Economic Area;EEA;Brussels Belgium
Cyprus;European Economic Area;EEA;Brussels Belgium
Czech Republic;European Economic Area;EEA;Brussels Belgium
Denmark;European Economic Area;EEA;Brussels Belgium
Estonia;European Economic Area;EEA;Brussels Belgium
Finland;European Economic Area;EEA;Brussels Belgium
France;European Economic Area;EEA;Brussels Belgium
Germany;European Economic Area;EEA;Brussels Belgium
Greece;European Economic Area;EEA;Brussels Belgium
Holy See;European Economic Area;EEA;Brussels Belgium
Hungary;European Economic Area;EEA;Brussels Belgium
Iceland;European Economic Area;EEA;Brussels Belgium
Ireland;European Economic Area;EEA;Brussels Belgium
Italy;European Economic Area;EEA;Brussels Belgium
Latvia;European Economic Area;EEA;Brussels Belgium
Liechtenstein;European Economic Area;EEA;Brussels Belgium
Lithuania;European Economic Area;EEA;Brussels Belgium
Luxembourg;European Economic Area;EEA;Brussels Belgium
Malta;European Economic Area;EEA;Brussels Belgium
Monaco;European Economic Area;EEA;Brussels Belgium
Netherlands;European Economic Area;EEA;Brussels Belgium
Norway;European Economic Area;EEA;Brussels Belgium
Poland;European Economic Area;EEA;Brussels Belgium
Portugal;European Economic Area;EEA;Brussels Belgium
Romania;European Economic Area;EEA;Brussels Belgium
San Marino;European Economic Area;EEA;Brussels Belgium
Slovakia;European Economic Area;EEA;Brussels Belgium
Slovenia;European Economic Area;EEA;Brussels Belgium
Spain;European Economic Area;EEA;Brussels Belgium
Sweden;European Economic Area;EEA;Brussels Belgium
Switzerland;European Economic Area;EEA;Brussels Belgium
UK;European Economic Area;EEA;Brussels Belgium
Albania;South-Eastern Europe;SEE;Vienna Austria
Armenia;South-Eastern Europe;SEE;Vienna Austria
Azerbaijan;South-Eastern Europe;SEE;Vienna Austria
Belarus;South-Eastern Europe;SEE;Vienna Austria
Bosnia and Herzegovina;South-Eastern Europe;SEE;Vienna Austria
Croatia;South-Eastern Europe;SEE;Vienna Austria
Georgia;South-Eastern Europe;SEE;Vienna Austria
Israel;South-Eastern Europe;SEE;Vienna Austria
Kazakhstan;South-Eastern Europe;SEE;Vienna Austria
