"countryName_Destination";"Notes.x";"ISO3.x";"Type.of.data..a.";"Origin";"nbMigrants";"Notes.y";"ISO3.y"
"Djibouti";"";"DJI";"B R";"Dominican Republic";0;"";"DOM"
"Eritrea";"";"ERI";"I";"Dominican Republic";0;"";"DOM"
"Ethiopia";"";"ETH";"B R";"Dominican Republic";0;"";"DOM"
"Kenya";"";"KEN";"B R";"Dominican Republic";0;"";"DOM"
"Madagascar";"";"MDG";"C";"Dominican Republic";0;"";"DOM"
"Malawi";"";"MWI";"B R";"Dominican Republic";0;"";"DOM"
"Mauritius";"-1";"MUS";"C";"Dominican Republic";0;"";"DOM"
"Mayotte";"";"MYT";"B";"Dominican Republic";0;"";"DOM"
"Mozambique";"";"MOZ";"B R";"Dominican Republic";0;"";"DOM"
"Réunion";"";"REU";"B";"Dominican Republic";0;"";"DOM"
"Rwanda";"";"RWA";"B R";"Dominican Republic";0;"";"DOM"
"Seychelles";"";"SYC";"B";"Dominican Republic";0;"";"DOM"
"Somalia";"";"SOM";"I R";"Dominican Republic";0;"";"DOM"
"South Sudan";"";"SSD";"B R";"Dominican Republic";0;"";"DOM"
"Uganda";"";"UGA";"B R";"Dominican Republic";0;"";"DOM"
"United Republic of Tanzania";"-2";"TZA";"B R";"Dominican Republic";0;"";"DOM"
"Zambia";"";"ZMB";"B R";"Dominican Republic";0;"";"DOM"
"Zimbabwe";"";"ZWE";"B R";"Dominican Republic";0;"";"DOM"
"Angola";"";"AGO";"B R";"Dominican Republic";0;"";"DOM"
"Cameroon";"";"CMR";"B";"Dominican Republic";0;"";"DOM"
"Central African Republic";"";"CAF";"C";"Dominican Republic";0;"";"DOM"
"Chad";"";"TCD";"B R";"Dominican Republic";0;"";"DOM"
"Congo";"";"COG";"B";"Dominican Republic";0;"";"DOM"
"Democratic Republic of the Congo";"";"COD";"B R";"Dominican Republic";0;"";"DOM"
"Equatorial Guinea";"";"GNQ";"C";"Dominican Republic";0;"";"DOM"
"Gabon";"";"GAB";"C";"Dominican Republic";0;"";"DOM"
"Sao Tome and Principe";"";"STP";"C";"Dominican Republic";0;"";"DOM"
"Algeria";"";"DZA";"C R";"Dominican Republic";0;"";"DOM"
"Egypt";"";"EGY";"B R";"Dominican Republic";0;"";"DOM"
"Libya";"";"LBY";"C";"Dominican Republic";0;"";"DOM"
"Morocco";"";"MAR";"C";"Dominican Republic";0;"";"DOM"
"Sudan";"-3";"SDN";"B R";"Dominican Republic";0;"";"DOM"
"Tunisia";"";"TUN";"C";"Dominican Republic";0;"";"DOM"
"Western Sahara";"";"ESH";"I";"Dominican Republic";0;"";"DOM"
"Botswana";"";"BWA";"C";"Dominican Republic";0;"";"DOM"
"Lesotho";"";"LSO";"C R";"Dominican Republic";0;"";"DOM"
"Namibia";"";"NAM";"B";"Dominican Republic";0;"";"DOM"
"South Africa";"";"ZAF";"B R";"Dominican Republic";0;"";"DOM"
"Swaziland";"";"SWZ";"B R";"Dominican Republic";0;"";"DOM"
"Benin";"";"BEN";"C B R";"Dominican Republic";0;"";"DOM"
"Burkina Faso";"";"BFA";"B R";"Dominican Republic";0;"";"DOM"
"Cabo Verde";"";"CPV";"B";"Dominican Republic";0;"";"DOM"
"Côte d'Ivoire";"";"CIV";"C B";"Dominican Republic";0;"";"DOM"
"Gambia";"";"GMB";"B";"Dominican Republic";0;"";"DOM"
"Ghana";"";"GHA";"B";"Dominican Republic";0;"";"DOM"
"Guinea";"";"GIN";"C R";"Dominican Republic";0;"";"DOM"
"Guinea-Bissau";"";"GNB";"B R";"Dominican Republic";0;"";"DOM"
"Liberia";"";"LBR";"B";"Dominican Republic";0;"";"DOM"
"Mali";"";"MLI";"B R";"Dominican Republic";0;"";"DOM"
"Mauritania";"";"MRT";"C R";"Dominican Republic";0;"";"DOM"
"Niger";"";"NER";"B R";"Dominican Republic";0;"";"DOM"
"Nigeria";"";"NGA";"C R";"Dominican Republic";0;"";"DOM"
"Saint Helena";"-4";"SHN";"B";"Dominican Republic";0;"";"DOM"
"Senegal";"";"SEN";"B R";"Dominican Republic";0;"";"DOM"
"Sierra Leone";"";"SLE";"B R";"Dominican Republic";0;"";"DOM"
"Togo";"";"TGO";"C R";"Dominican Republic";0;"";"DOM"
"Kazakhstan";"";"KAZ";"B";"Dominican Republic";0;"";"DOM"
"Kyrgyzstan";"";"KGZ";"B";"Dominican Republic";0;"";"DOM"
"Tajikistan";"";"TJK";"B";"Dominican Republic";0;"";"DOM"
"Turkmenistan";"";"TKM";"B";"Dominican Republic";0;"";"DOM"
"Uzbekistan";"";"UZB";"B";"Dominican Republic";0;"";"DOM"
"China";"-5";"CHN";"C";"Dominican Republic";0;"";"DOM"
"China, Hong Kong Special Administrative Region";"-6";"HKG ";"B";"Dominican Republic";0;"";"DOM"
"China, Macao Special Administrative Region";"-7";"MAC";"B";"Dominican Republic";0;"";"DOM"
"Democratic People's Republic of Korea";"";"PRK";"I";"Dominican Republic";0;"";"DOM"
"Japan";"";"JPN";"C";"Dominican Republic";0;"";"DOM"
"Mongolia";"";"MNG";"C";"Dominican Republic";0;"";"DOM"
"Republic of Korea";"";"KOR";"C";"Dominican Republic";0;"";"DOM"
"Brunei Darussalam";"";"BRN";"B";"Dominican Republic";0;"";"DOM"
"Cambodia";"";"KHM";"B";"Dominican Republic";0;"";"DOM"
"Indonesia";"";"IDN";"B R";"Dominican Republic";0;"";"DOM"
"Lao People's Democratic Republic";"";"LAO";"C R";"Dominican Republic";0;"";"DOM"
"Malaysia";"-8";"MYS";"C R";"Dominican Republic";0;"";"DOM"
"Myanmar";"";"MMR";"C";"Dominican Republic";0;"";"DOM"
"Philippines";"";"PHL";"C R";"Dominican Republic";0;"";"DOM"
"Singapore";"";"SGP";"B";"Dominican Republic";0;"";"DOM"
"Thailand";"";"THA";"B R";"Dominican Republic";0;"";"DOM"
"Timor-Leste";"";"TLS";"B";"Dominican Republic";0;"";"DOM"
"Viet Nam";"";"VNM";"C R";"Dominican Republic";0;"";"DOM"
"Afghanistan";"";"AFG";"B";"Dominican Republic";0;"";"DOM"
"Bangladesh";"";"BGD";"B R";"Dominican Republic";0;"";"DOM"
"Bhutan";"";"BTN";"B";"Dominican Republic";0;"";"DOM"
"India";"";"IND";"B R";"Dominican Republic";0;"";"DOM"
"Iran (Islamic Republic of)";"";"IRN";"B R";"Dominican Republic";0;"";"DOM"
"Maldives";"";"MDV";"C R";"Dominican Republic";0;"";"DOM"
"Nepal";"";"NPL";"B R";"Dominican Republic";0;"";"DOM"
"Pakistan";"";"PAK";"B R";"Dominican Republic";0;"";"DOM"
"Sri Lanka";"";"LKA";"B R";"Dominican Republic";0;"";"DOM"
"Armenia";"";"ARM";"B R";"Dominican Republic";0;"";"DOM"
"Azerbaijan";"-9";"AZE";"B R";"Dominican Republic";0;"";"DOM"
"Bahrain";"";"BHR";"C";"Dominican Republic";0;"";"DOM"
"Cyprus";"-10";"CYP";"B";"Dominican Republic";13;"";"DOM"
"Georgia";"-11";"GEO";"B";"Dominican Republic";0;"";"DOM"
"Iraq";"";"IRQ";"C R";"Dominican Republic";0;"";"DOM"
"Israel";"";"ISR";"B R";"Dominican Republic";0;"";"DOM"
"Jordan";"";"JOR";"C R";"Dominican Republic";0;"";"DOM"
"Kuwait";"";"KWT";"C R";"Dominican Republic";0;"";"DOM"
"Lebanon";"";"LBN";"B R";"Dominican Republic";0;"";"DOM"
"Oman";"";"OMN";"C";"Dominican Republic";0;"";"DOM"
"Qatar";"";"QAT";"C";"Dominican Republic";0;"";"DOM"
"Saudi Arabia";"";"SAU";"C R";"Dominican Republic";0;"";"DOM"
"State of Palestine";"-12";"PSE";"B";"Dominican Republic";0;"";"DOM"
"Syrian Arab Republic";"";"SYR";"C R";"Dominican Republic";0;"";"DOM"
"Turkey";"";"TUR";"B R";"Dominican Republic";0;"";"DOM"
"United Arab Emirates";"";"ARE";"C R";"Dominican Republic";0;"";"DOM"
"Yemen";"";"YEM";"C R";"Dominican Republic";0;"";"DOM"
"Belarus";"";"BLR";"B";"Dominican Republic";0;"";"DOM"
"Bulgaria";"";"BGR";"B";"Dominican Republic";28;"";"DOM"
"Czech Republic";"";"CZE";"C";"Dominican Republic";56;"";"DOM"
"Hungary";"";"HUN";"B R";"Dominican Republic";32;"";"DOM"
"Poland";"";"POL";"B";"Dominican Republic";20;"";"DOM"
"Republic of Moldova";"-13";"MDA";"B";"Dominican Republic";0;"";"DOM"
"Romania";"";"ROM";"B";"Dominican Republic";35;"";"DOM"
"Russian Federation";"";"RUS";"B";"Dominican Republic";0;"";"DOM"
"Slovakia";"";"SVK";"B";"Dominican Republic";0;"";"DOM"
"Ukraine";"";"UKR";"B";"Dominican Republic";0;"";"DOM"
"Denmark";"";"DNK";"B";"Dominican Republic";164;"";"DOM"
"Estonia";"";"EST";"B";"Dominican Republic";1;"";"DOM"
"Faeroe Islands";"";"FRO";"B";"Dominican Republic";0;"";"DOM"
"Finland";"-15";"FIN";"B";"Dominican Republic";200;"";"DOM"
"Iceland";"";"ISL";"B";"Dominican Republic";32;"";"DOM"
"Ireland";"";"IRL";"B";"Dominican Republic";10;"";"DOM"
"Isle of Man";"";"IMN";"B";"Dominican Republic";0;"";"DOM"
"Latvia";"";"LVA";"B";"Dominican Republic";0;"";"DOM"
"Lithuania";"";"LTU";"B";"Dominican Republic";0;"";"DOM"
"Norway";"-16";"NOR";"B";"Dominican Republic";796;"";"DOM"
"Sweden";"";"SWE";"B";"Dominican Republic";723;"";"DOM"
"United Kingdom of Great Britain and Northern Ireland";"";"GBR";"B";"Dominican Republic";1485;"";"DOM"
"Albania";"";"ALB";"B";"Dominican Republic";0;"";"DOM"
"Andorra";"";"AND";"C";"Dominican Republic";0;"";"DOM"
"Bosnia and Herzegovina";"";"BIH";"I R";"Dominican Republic";0;"";"DOM"
"Croatia";"";"HRV";"B R";"Dominican Republic";0;"";"DOM"
"Gibraltar";"";"GIB";"B";"Dominican Republic";0;"";"DOM"
"Greece";"";"GRC";"B";"Dominican Republic";566;"";"DOM"
"Holy See";"-17";"VAT";"I";"Dominican Republic";0;"";"DOM"
"Italy";"";"ITA";"B";"Dominican Republic";42269;"";"DOM"
"Malta";"";"MLT";"B";"Dominican Republic";0;"";"DOM"
"Montenegro";"";"MNE";"B";"Dominican Republic";0;"";"DOM"
"Portugal";"";"PRT";"B";"Dominican Republic";64;"";"DOM"
"San Marino";"";"SMR";"B";"Dominican Republic";0;"";"DOM"
"Serbia";"-18";"SRB";"B";"Dominican Republic";0;"";"DOM"
"Slovenia";"";"SVN";"B";"Dominican Republic";169;"";"DOM"
"Spain";"-19";"ESP";"B";"Dominican Republic";151369;"";"DOM"
"The former Yugoslav Republic of Macedonia";"";"MKD";"B";"Dominican Republic";0;"";"DOM"
"Austria";"";"AUT";"B";"Dominican Republic";3125;"";"DOM"
"Belgium";"";"BEL";"C";"Dominican Republic";860;"";"DOM"
"France";"";"FRA";"B";"Dominican Republic";3491;"";"DOM"
"Germany";"";"DEU";"B";"Dominican Republic";11091;"";"DOM"
"Liechtenstein";"";"LIE";"B";"Dominican Republic";69;"";"DOM"
"Luxembourg";"";"LUX";"B";"Dominican Republic";36;"";"DOM"
"Monaco";"";"MCO";"B";"Dominican Republic";0;"";"DOM"
"Netherlands";"";"NLD";"B";"Dominican Republic";8688;"";"DOM"
"Switzerland";"";"CHE";"B";"Dominican Republic";10754;"";"DOM"
"Anguilla";"";"AIA";"B";"Dominican Republic";700;"";"DOM"
"Antigua and Barbuda";"";"ATG";"B";"Dominican Republic";1784;"";"DOM"
"Aruba";"";"ABW";"B";"Dominican Republic";4327;"";"DOM"
"Bahamas";"";"BHS";"B";"Dominican Republic";291;"";"DOM"
"Barbados";"";"BRB";"B";"Dominican Republic";0;"";"DOM"
"Bonaire, Sint Eustatius and Saba";"-20";"BES";"B";"Dominican Republic";1362;"";"DOM"
"British Virgin Islands";"";"VGB";"B";"Dominican Republic";1450;"";"DOM"
"Cayman Islands";"";"CYM";"C";"Dominican Republic";60;"";"DOM"
"Cuba";"";"CUB";"B";"Dominican Republic";113;"";"DOM"
"Curaçao";"";"CUW";"B";"Dominican Republic";5715;"";"DOM"
"Dominica";"";"DMA";"B";"Dominican Republic";0;"";"DOM"
"Dominican Republic";"";"DOM";"B";"Dominican Republic";0;"";"DOM"
"Grenada";"";"GRD";"B";"Dominican Republic";0;"";"DOM"
"Guadeloupe";"-21";"GLP";"B";"Dominican Republic";947;"";"DOM"
"Haiti";"";"HTI";"B";"Dominican Republic";4984;"";"DOM"
"Jamaica";"";"JAM";"B";"Dominican Republic";0;"";"DOM"
"Martinique";"";"MTQ";"B";"Dominican Republic";139;"";"DOM"
"Montserrat";"";"MSR";"B";"Dominican Republic";24;"";"DOM"
"Puerto Rico";"";"PRI";"B";"Dominican Republic";57891;"";"DOM"
"Saint Kitts and Nevis";"";"KNA";"B";"Dominican Republic";0;"";"DOM"
"Saint Lucia";"";"LCA";"B";"Dominican Republic";48;"";"DOM"
"Saint Vincent and the Grenadines";"";"VCT";"B";"Dominican Republic";0;"";"DOM"
"Sint Maarten (Dutch part)";"";"SXM";"B";"Dominican Republic";3546;"";"DOM"
"Trinidad and Tobago";"";"TTO";"B";"Dominican Republic";0;"";"DOM"
"Turks and Caicos Islands";"";"TCA";"B";"Dominican Republic";774;"";"DOM"
"United States Virgin Islands";"";"VIR";"B";"Dominican Republic";4641;"";"DOM"
"Belize";"";"BLZ";"B R ";"Dominican Republic";0;"";"DOM"
"Costa Rica";"";"CRI";"B R";"Dominican Republic";1126;"";"DOM"
"El Salvador";"";"SLV";"B R";"Dominican Republic";72;"";"DOM"
"Guatemala";"";"GTM";"B R";"Dominican Republic";109;"";"DOM"
"Honduras";"";"HND";"B R";"Dominican Republic";99;"";"DOM"
"Mexico";"";"MEX";"B R";"Dominican Republic";1992;"";"DOM"
"Nicaragua";"";"NIC";"B R";"Dominican Republic";69;"";"DOM"
"Panama";"";"PAN";"B";"Dominican Republic";8095;"";"DOM"
"Argentina";"";"ARG";"B";"Dominican Republic";684;"";"DOM"
"Bolivia (Plurinational State of)";"";"BOL";"B";"Dominican Republic";116;"";"DOM"
"Brazil";"";"BRA";"B";"Dominican Republic";372;"";"DOM"
"Chile";"";"CHL";"B";"Dominican Republic";278;"";"DOM"
"Colombia";"";"COL";"B";"Dominican Republic";385;"";"DOM"
"Ecuador";"";"ECU";"B R";"Dominican Republic";353;"";"DOM"
"Falkland Islands (Malvinas)";"";"FLK";"B";"Dominican Republic";0;"";"DOM"
"French Guiana";"";"GUF";"B";"Dominican Republic";0;"";"DOM"
"Guyana";"";"GUY";"B";"Dominican Republic";0;"";"DOM"
"Paraguay";"";"PRY";"B";"Dominican Republic";0;"";"DOM"
"Peru";"";"PER";"B";"Dominican Republic";181;"";"DOM"
"Suriname";"";"SUR";"C";"Dominican Republic";0;"";"DOM"
"Uruguay";"";"URY";"B";"Dominican Republic";0;"";"DOM"
"Venezuela (Bolivarian Republic of)";"";"VEN";"B";"Dominican Republic";14743;"";"DOM"
"Bermuda";"";"BMU";"B";"Dominican Republic";21;"";"DOM"
"Canada";"";"CAN";"B";"Dominican Republic";9803;"";"DOM"
"Greenland";"";"GRL";"B";"Dominican Republic";0;"";"DOM"
"Saint Pierre and Miquelon";"";"SPM";"B";"Dominican Republic";0;"";"DOM"
"United States of America";"";"USA";"B";"Dominican Republic";940874;"";"DOM"
"Australia";"-22";"AUS";"B";"Dominican Republic";179;"";"DOM"
"New Zealand";"";"NZL";"B";"Dominican Republic";0;"";"DOM"
"Fiji";"";"FJI";"B";"Dominican Republic";0;"";"DOM"
"New Caledonia";"";"NCL";"B";"Dominican Republic";0;"";"DOM"
"Papua New Guinea";"";"PNG";"C R";"Dominican Republic";0;"";"DOM"
"Solomon Islands";"";"SLB";"B";"Dominican Republic";0;"";"DOM"
"Vanuatu";"";"VUT";"B";"Dominican Republic";0;"";"DOM"
"Guam";"";"GUM";"B";"Dominican Republic";0;"";"DOM"
"Kiribati";"";"KIR";"B";"Dominican Republic";0;"";"DOM"
"Marshall Islands";"";"MHL";"B";"Dominican Republic";0;"";"DOM"
"Micronesia (Federated States of)";"";"FSM";"B";"Dominican Republic";0;"";"DOM"
"Nauru";"";"NRU";"C";"Dominican Republic";0;"";"DOM"
"Northern Mariana Islands";"";"MNP";"B";"Dominican Republic";0;"";"DOM"
"Palau";"";"PLW";"B";"Dominican Republic";0;"";"DOM"
"American Samoa";"";"ASM";"B";"Dominican Republic";0;"";"DOM"
"Cook Islands";"";"COK";"B";"Dominican Republic";0;"";"DOM"
"French Polynesia";"";"PYF";"B";"Dominican Republic";0;"";"DOM"
"Niue";"";"NIU";"B";"Dominican Republic";0;"";"DOM"
"Samoa";"";"WSM";"B";"Dominican Republic";0;"";"DOM"
"Tokelau";"";"TKL";"B";"Dominican Republic";0;"";"DOM"
"Tonga";"";"TON";"B";"Dominican Republic";0;"";"DOM"
"Tuvalu";"";"TUV";"C";"Dominican Republic";0;"";"DOM"
"Wallis and Futuna Islands";"";"WLF";"B";"Dominican Republic";0;"";"DOM"
"Burundi";"";"BDI";"B R";"Ecuador";0;"";"ECU"
"Comoros";"";"COM";"B";"Ecuador";0;"";"ECU"
"Djibouti";"";"DJI";"B R";"Ecuador";0;"";"ECU"
"Eritrea";"";"ERI";"I";"Ecuador";0;"";"ECU"
"Ethiopia";"";"ETH";"B R";"Ecuador";0;"";"ECU"
"Kenya";"";"KEN";"B R";"Ecuador";0;"";"ECU"
"Madagascar";"";"MDG";"C";"Ecuador";0;"";"ECU"
"Malawi";"";"MWI";"B R";"Ecuador";0;"";"ECU"
"Mauritius";"-1";"MUS";"C";"Ecuador";0;"";"ECU"
"Mayotte";"";"MYT";"B";"Ecuador";0;"";"ECU"
"Mozambique";"";"MOZ";"B R";"Ecuador";0;"";"ECU"
"Réunion";"";"REU";"B";"Ecuador";0;"";"ECU"
"Rwanda";"";"RWA";"B R";"Ecuador";0;"";"ECU"
"Seychelles";"";"SYC";"B";"Ecuador";0;"";"ECU"
"Somalia";"";"SOM";"I R";"Ecuador";0;"";"ECU"
"South Sudan";"";"SSD";"B R";"Ecuador";0;"";"ECU"
"Uganda";"";"UGA";"B R";"Ecuador";0;"";"ECU"
"United Republic of Tanzania";"-2";"TZA";"B R";"Ecuador";0;"";"ECU"
"Zambia";"";"ZMB";"B R";"Ecuador";0;"";"ECU"
"Zimbabwe";"";"ZWE";"B R";"Ecuador";0;"";"ECU"
"Angola";"";"AGO";"B R";"Ecuador";0;"";"ECU"
"Cameroon";"";"CMR";"B";"Ecuador";0;"";"ECU"
"Central African Republic";"";"CAF";"C";"Ecuador";0;"";"ECU"
"Chad";"";"TCD";"B R";"Ecuador";0;"";"ECU"
"Congo";"";"COG";"B";"Ecuador";0;"";"ECU"
"Democratic Republic of the Congo";"";"COD";"B R";"Ecuador";0;"";"ECU"
"Equatorial Guinea";"";"GNQ";"C";"Ecuador";0;"";"ECU"
"Gabon";"";"GAB";"C";"Ecuador";0;"";"ECU"
"Sao Tome and Principe";"";"STP";"C";"Ecuador";0;"";"ECU"
"Algeria";"";"DZA";"C R";"Ecuador";0;"";"ECU"
"Egypt";"";"EGY";"B R";"Ecuador";14;"";"ECU"
"Libya";"";"LBY";"C";"Ecuador";0;"";"ECU"
"Morocco";"";"MAR";"C";"Ecuador";0;"";"ECU"
"Sudan";"-3";"SDN";"B R";"Ecuador";0;"";"ECU"
"Tunisia";"";"TUN";"C";"Ecuador";0;"";"ECU"
"Western Sahara";"";"ESH";"I";"Ecuador";0;"";"ECU"
"Botswana";"";"BWA";"C";"Ecuador";0;"";"ECU"
"Lesotho";"";"LSO";"C R";"Ecuador";0;"";"ECU"
"Namibia";"";"NAM";"B";"Ecuador";0;"";"ECU"
"South Africa";"";"ZAF";"B R";"Ecuador";0;"";"ECU"
"Swaziland";"";"SWZ";"B R";"Ecuador";0;"";"ECU"
"Benin";"";"BEN";"C B R";"Ecuador";0;"";"ECU"
"Burkina Faso";"";"BFA";"B R";"Ecuador";0;"";"ECU"
"Cabo Verde";"";"CPV";"B";"Ecuador";0;"";"ECU"
"Côte d'Ivoire";"";"CIV";"C B";"Ecuador";0;"";"ECU"
"Gambia";"";"GMB";"B";"Ecuador";0;"";"ECU"
"Ghana";"";"GHA";"B";"Ecuador";0;"";"ECU"
"Guinea";"";"GIN";"C R";"Ecuador";0;"";"ECU"
"Guinea-Bissau";"";"GNB";"B R";"Ecuador";0;"";"ECU"
"Liberia";"";"LBR";"B";"Ecuador";0;"";"ECU"
"Mali";"";"MLI";"B R";"Ecuador";0;"";"ECU"
"Mauritania";"";"MRT";"C R";"Ecuador";0;"";"ECU"
"Niger";"";"NER";"B R";"Ecuador";0;"";"ECU"
"Nigeria";"";"NGA";"C R";"Ecuador";0;"";"ECU"
"Saint Helena";"-4";"SHN";"B";"Ecuador";0;"";"ECU"
"Senegal";"";"SEN";"B R";"Ecuador";0;"";"ECU"
"Sierra Leone";"";"SLE";"B R";"Ecuador";0;"";"ECU"
"Togo";"";"TGO";"C R";"Ecuador";0;"";"ECU"
"Kazakhstan";"";"KAZ";"B";"Ecuador";0;"";"ECU"
"Kyrgyzstan";"";"KGZ";"B";"Ecuador";0;"";"ECU"
"Tajikistan";"";"TJK";"B";"Ecuador";0;"";"ECU"
"Turkmenistan";"";"TKM";"B";"Ecuador";0;"";"ECU"
"Uzbekistan";"";"UZB";"B";"Ecuador";0;"";"ECU"
"China";"-5";"CHN";"C";"Ecuador";0;"";"ECU"
"China, Hong Kong Special Administrative Region";"-6";"HKG ";"B";"Ecuador";0;"";"ECU"
"China, Macao Special Administrative Region";"-7";"MAC";"B";"Ecuador";0;"";"ECU"
"Democratic People's Republic of Korea";"";"PRK";"I";"Ecuador";0;"";"ECU"
"Japan";"";"JPN";"C";"Ecuador";0;"";"ECU"
"Mongolia";"";"MNG";"C";"Ecuador";0;"";"ECU"
"Republic of Korea";"";"KOR";"C";"Ecuador";0;"";"ECU"
"Brunei Darussalam";"";"BRN";"B";"Ecuador";0;"";"ECU"
"Cambodia";"";"KHM";"B";"Ecuador";0;"";"ECU"
"Indonesia";"";"IDN";"B R";"Ecuador";0;"";"ECU"
"Lao People's Democratic Republic";"";"LAO";"C R";"Ecuador";0;"";"ECU"
"Malaysia";"-8";"MYS";"C R";"Ecuador";0;"";"ECU"
"Myanmar";"";"MMR";"C";"Ecuador";0;"";"ECU"
"Philippines";"";"PHL";"C R";"Ecuador";459;"";"ECU"
"Singapore";"";"SGP";"B";"Ecuador";0;"";"ECU"
"Thailand";"";"THA";"B R";"Ecuador";0;"";"ECU"
"Timor-Leste";"";"TLS";"B";"Ecuador";0;"";"ECU"
"Viet Nam";"";"VNM";"C R";"Ecuador";0;"";"ECU"
"Afghanistan";"";"AFG";"B";"Ecuador";0;"";"ECU"
"Bangladesh";"";"BGD";"B R";"Ecuador";0;"";"ECU"
"Bhutan";"";"BTN";"B";"Ecuador";0;"";"ECU"
"India";"";"IND";"B R";"Ecuador";0;"";"ECU"
"Iran (Islamic Republic of)";"";"IRN";"B R";"Ecuador";0;"";"ECU"
"Maldives";"";"MDV";"C R";"Ecuador";0;"";"ECU"
"Nepal";"";"NPL";"B R";"Ecuador";0;"";"ECU"
"Pakistan";"";"PAK";"B R";"Ecuador";0;"";"ECU"
"Sri Lanka";"";"LKA";"B R";"Ecuador";0;"";"ECU"
"Armenia";"";"ARM";"B R";"Ecuador";0;"";"ECU"
"Azerbaijan";"-9";"AZE";"B R";"Ecuador";0;"";"ECU"
"Bahrain";"";"BHR";"C";"Ecuador";0;"";"ECU"
"Cyprus";"-10";"CYP";"B";"Ecuador";10;"";"ECU"
"Georgia";"-11";"GEO";"B";"Ecuador";0;"";"ECU"
"Iraq";"";"IRQ";"C R";"Ecuador";0;"";"ECU"
"Israel";"";"ISR";"B R";"Ecuador";0;"";"ECU"
"Jordan";"";"JOR";"C R";"Ecuador";0;"";"ECU"
"Kuwait";"";"KWT";"C R";"Ecuador";0;"";"ECU"
"Lebanon";"";"LBN";"B R";"Ecuador";0;"";"ECU"
"Oman";"";"OMN";"C";"Ecuador";0;"";"ECU"
"Qatar";"";"QAT";"C";"Ecuador";0;"";"ECU"
"Saudi Arabia";"";"SAU";"C R";"Ecuador";0;"";"ECU"
"State of Palestine";"-12";"PSE";"B";"Ecuador";0;"";"ECU"
"Syrian Arab Republic";"";"SYR";"C R";"Ecuador";0;"";"ECU"
"Turkey";"";"TUR";"B R";"Ecuador";0;"";"ECU"
"United Arab Emirates";"";"ARE";"C R";"Ecuador";0;"";"ECU"
"Yemen";"";"YEM";"C R";"Ecuador";0;"";"ECU"
"Belarus";"";"BLR";"B";"Ecuador";0;"";"ECU"
"Bulgaria";"";"BGR";"B";"Ecuador";16;"";"ECU"
"Czech Republic";"";"CZE";"C";"Ecuador";98;"";"ECU"
"Hungary";"";"HUN";"B R";"Ecuador";109;"";"ECU"
"Poland";"";"POL";"B";"Ecuador";45;"";"ECU"
"Republic of Moldova";"-13";"MDA";"B";"Ecuador";0;"";"ECU"
"Romania";"";"ROM";"B";"Ecuador";0;"";"ECU"
"Russian Federation";"";"RUS";"B";"Ecuador";241;"";"ECU"
"Slovakia";"";"SVK";"B";"Ecuador";35;"";"ECU"
"Ukraine";"";"UKR";"B";"Ecuador";0;"";"ECU"
"Denmark";"";"DNK";"B";"Ecuador";596;"";"ECU"
"Estonia";"";"EST";"B";"Ecuador";7;"";"ECU"
"Faeroe Islands";"";"FRO";"B";"Ecuador";0;"";"ECU"
"Finland";"-15";"FIN";"B";"Ecuador";243;"";"ECU"
"Iceland";"";"ISL";"B";"Ecuador";32;"";"ECU"
"Ireland";"";"IRL";"B";"Ecuador";39;"";"ECU"
"Isle of Man";"";"IMN";"B";"Ecuador";0;"";"ECU"
"Latvia";"";"LVA";"B";"Ecuador";0;"";"ECU"
"Lithuania";"";"LTU";"B";"Ecuador";0;"";"ECU"
"Norway";"-16";"NOR";"B";"Ecuador";758;"";"ECU"
"Sweden";"";"SWE";"B";"Ecuador";2406;"";"ECU"
"United Kingdom of Great Britain and Northern Ireland";"";"GBR";"B";"Ecuador";9422;"";"ECU"
"Albania";"";"ALB";"B";"Ecuador";0;"";"ECU"
"Andorra";"";"AND";"C";"Ecuador";0;"";"ECU"
"Bosnia and Herzegovina";"";"BIH";"I R";"Ecuador";0;"";"ECU"
"Croatia";"";"HRV";"B R";"Ecuador";0;"";"ECU"
"Gibraltar";"";"GIB";"B";"Ecuador";0;"";"ECU"
"Greece";"";"GRC";"B";"Ecuador";84;"";"ECU"
"Holy See";"-17";"VAT";"I";"Ecuador";0;"";"ECU"
"Italy";"";"ITA";"B";"Ecuador";88329;"";"ECU"
"Malta";"";"MLT";"B";"Ecuador";0;"";"ECU"
"Montenegro";"";"MNE";"B";"Ecuador";0;"";"ECU"
"Portugal";"";"PRT";"B";"Ecuador";433;"";"ECU"
"San Marino";"";"SMR";"B";"Ecuador";0;"";"ECU"
"Serbia";"-18";"SRB";"B";"Ecuador";0;"";"ECU"
"Slovenia";"";"SVN";"B";"Ecuador";0;"";"ECU"
"Spain";"-19";"ESP";"B";"Ecuador";421758;"";"ECU"
"The former Yugoslav Republic of Macedonia";"";"MKD";"B";"Ecuador";0;"";"ECU"
"Austria";"";"AUT";"B";"Ecuador";662;"";"ECU"
"Belgium";"";"BEL";"C";"Ecuador";4006;"";"ECU"
"France";"";"FRA";"B";"Ecuador";4136;"";"ECU"
"Germany";"";"DEU";"B";"Ecuador";8486;"";"ECU"
"Liechtenstein";"";"LIE";"B";"Ecuador";0;"";"ECU"
"Luxembourg";"";"LUX";"B";"Ecuador";0;"";"ECU"
"Monaco";"";"MCO";"B";"Ecuador";0;"";"ECU"
