"countryName_Destination";"Notes.x";"ISO3.x";"Type.of.data..a.";"Origin";"nbMigrants";"Notes.y";"ISO3.y"
"Myanmar";"";"MMR";"C";"Afghanistan";0;"";"AFG"
"Philippines";"";"PHL";"C R";"Afghanistan";1220;"";"AFG"
"Singapore";"";"SGP";"B";"Afghanistan";0;"";"AFG"
"Thailand";"";"THA";"B R";"Afghanistan";1;"";"AFG"
"Timor-Leste";"";"TLS";"B";"Afghanistan";0;"";"AFG"
"Viet Nam";"";"VNM";"C R";"Afghanistan";0;"";"AFG"
"Afghanistan";"";"AFG";"B";"Afghanistan";0;"";"AFG"
"Bangladesh";"";"BGD";"B R";"Afghanistan";0;"";"AFG"
"Bhutan";"";"BTN";"B";"Afghanistan";0;"";"AFG"
"India";"";"IND";"B R";"Afghanistan";8086;"";"AFG"
"Iran (Islamic Republic of)";"";"IRN";"B R";"Afghanistan";2348369;"";"AFG"
"Maldives";"";"MDV";"C R";"Afghanistan";0;"";"AFG"
"Nepal";"";"NPL";"B R";"Afghanistan";0;"";"AFG"
"Pakistan";"";"PAK";"B R";"Afghanistan";1618687;"";"AFG"
"Sri Lanka";"";"LKA";"B R";"Afghanistan";128;"";"AFG"
"Armenia";"";"ARM";"B R";"Afghanistan";0;"";"AFG"
"Azerbaijan";"-9";"AZE";"B R";"Afghanistan";186;"";"AFG"
"Bahrain";"";"BHR";"C";"Afghanistan";656;"";"AFG"
"Cyprus";"-10";"CYP";"B";"Afghanistan";10;"";"AFG"
"Georgia";"-11";"GEO";"B";"Afghanistan";0;"";"AFG"
"Iraq";"";"IRQ";"C R";"Afghanistan";312;"";"AFG"
"Israel";"";"ISR";"B R";"Afghanistan";2539;"";"AFG"
"Jordan";"";"JOR";"C R";"Afghanistan";66;"";"AFG"
"Kuwait";"";"KWT";"C R";"Afghanistan";2669;"";"AFG"
"Lebanon";"";"LBN";"B R";"Afghanistan";0;"";"AFG"
"Oman";"";"OMN";"C";"Afghanistan";0;"";"AFG"
"Qatar";"";"QAT";"C";"Afghanistan";1571;"";"AFG"
"Saudi Arabia";"";"SAU";"C R";"Afghanistan";364304;"";"AFG"
"State of Palestine";"-12";"PSE";"B";"Afghanistan";0;"";"AFG"
"Syrian Arab Republic";"";"SYR";"C R";"Afghanistan";1791;"";"AFG"
"Turkey";"";"TUR";"B R";"Afghanistan";13601;"";"AFG"
"United Arab Emirates";"";"ARE";"C R";"Afghanistan";7590;"";"AFG"
"Yemen";"";"YEM";"C R";"Afghanistan";0;"";"AFG"
"Belarus";"";"BLR";"B";"Afghanistan";282;"";"AFG"
"Bulgaria";"";"BGR";"B";"Afghanistan";322;"";"AFG"
"Czech Republic";"";"CZE";"C";"Afghanistan";427;"";"AFG"
"Hungary";"";"HUN";"B R";"Afghanistan";1333;"";"AFG"
"Poland";"";"POL";"B";"Afghanistan";141;"";"AFG"
"Republic of Moldova";"-13";"MDA";"B";"Afghanistan";0;"";"AFG"
"Romania";"";"ROM";"B";"Afghanistan";0;"";"AFG"
"Russian Federation";"";"RUS";"B";"Afghanistan";5095;"";"AFG"
"Slovakia";"";"SVK";"B";"Afghanistan";153;"";"AFG"
"Ukraine";"";"UKR";"B";"Afghanistan";2112;"";"AFG"
"Denmark";"";"DNK";"B";"Afghanistan";12260;"";"AFG"
"Estonia";"";"EST";"B";"Afghanistan";12;"";"AFG"
"Faeroe Islands";"";"FRO";"B";"Afghanistan";0;"";"AFG"
"Finland";"-15";"FIN";"B";"Afghanistan";4810;"";"AFG"
"Iceland";"";"ISL";"B";"Afghanistan";10;"";"AFG"
"Ireland";"";"IRL";"B";"Afghanistan";148;"";"AFG"
"Isle of Man";"";"IMN";"B";"Afghanistan";0;"";"AFG"
"Latvia";"";"LVA";"B";"Afghanistan";20;"";"AFG"
"Lithuania";"";"LTU";"B";"Afghanistan";21;"";"AFG"
"Norway";"-16";"NOR";"B";"Afghanistan";13238;"";"AFG"
"Sweden";"";"SWE";"B";"Afghanistan";29085;"";"AFG"
"United Kingdom of Great Britain and Northern Ireland";"";"GBR";"B";"Afghanistan";68256;"";"AFG"
"Albania";"";"ALB";"B";"Afghanistan";0;"";"AFG"
"Andorra";"";"AND";"C";"Afghanistan";0;"";"AFG"
"Bosnia and Herzegovina";"";"BIH";"I R";"Afghanistan";0;"";"AFG"
"Croatia";"";"HRV";"B R";"Afghanistan";0;"";"AFG"
"Gibraltar";"";"GIB";"B";"Afghanistan";0;"";"AFG"
"Greece";"";"GRC";"B";"Afghanistan";6331;"";"AFG"
"Holy See";"-17";"VAT";"I";"Afghanistan";0;"";"AFG"
"Italy";"";"ITA";"B";"Afghanistan";6568;"";"AFG"
"Malta";"";"MLT";"B";"Afghanistan";0;"";"AFG"
"Montenegro";"";"MNE";"B";"Afghanistan";0;"";"AFG"
"Portugal";"";"PRT";"B";"Afghanistan";0;"";"AFG"
"San Marino";"";"SMR";"B";"Afghanistan";0;"";"AFG"
"Serbia";"-18";"SRB";"B";"Afghanistan";0;"";"AFG"
"Slovenia";"";"SVN";"B";"Afghanistan";25;"";"AFG"
"Spain";"-19";"ESP";"B";"Afghanistan";458;"";"AFG"
"The former Yugoslav Republic of Macedonia";"";"MKD";"B";"Afghanistan";0;"";"AFG"
"Austria";"";"AUT";"B";"Afghanistan";8620;"";"AFG"
"Belgium";"";"BEL";"C";"Afghanistan";10638;"";"AFG"
"France";"";"FRA";"B";"Afghanistan";4761;"";"AFG"
"Germany";"";"DEU";"B";"Afghanistan";99638;"";"AFG"
"Liechtenstein";"";"LIE";"B";"Afghanistan";0;"";"AFG"
"Luxembourg";"";"LUX";"B";"Afghanistan";0;"";"AFG"
"Monaco";"";"MCO";"B";"Afghanistan";0;"";"AFG"
"Netherlands";"";"NLD";"B";"Afghanistan";33852;"";"AFG"
"Switzerland";"";"CHE";"B";"Afghanistan";4613;"";"AFG"
"Anguilla";"";"AIA";"B";"Afghanistan";0;"";"AFG"
"Antigua and Barbuda";"";"ATG";"B";"Afghanistan";0;"";"AFG"
"Aruba";"";"ABW";"B";"Afghanistan";0;"";"AFG"
