ISO3,COUNTRY,namesOr1,nbmigOr1,namesOr2,nbmigOr2,namesOr3,nbmigOr3,namesDe1,nbmigDe1,namesDe2,nbmigDe2,namesDe3,nbmigDe3
,,,,,,,,,,,,,
DJI,Djibouti,Somalia,93042,Ethiopia,12323,Azerbaijan,265,France,6571,Ethiopia,3705,Canada,1617
DMA,Caribbean Com,Congo,1395,Chile,633,Cuba,623,United States of America,29579,United Kingdom of Great Britain and Northern Ireland,6851,France,6443
DOM,Other Mexico,Haiti,329281,United States of America,25814,Saudi Arabia,7062,United States of America,940874,Spain,151369,Puerto Rico,57891
ECU,Ecuador,Colombia,194733,United States of America,26802,Peru,13705,United States of America,442693,Spain,421758,Italy,88329
EGY,Egypt,State of Palestine,150486,Syrian Arab Republic,146837,Sudan,31589,United Arab Emirates,935308,Saudi Arabia,728608,Kuwait,387993
SLV,Other Mexico,Honduras,11676,Guatemala,8885,Nicaragua,7823,United States of America,1276489,Canada,48632,Guatemala,19198
GNQ,Equatorial Gu,France,4561,New Zealand,1493,Cabo Verde,1279,Gabon,56283,Spain,18841,Cameroon,2580
ERI,Eritrea,Somalia,2457,Democratic Republic of the Congo,1688,Uganda,1524,Sudan,159748,Ethiopia,156030,United States of America,30305
EST,,Russian Federation,143677,Ukraine,21683,Belarus,11883,Russian Federation,58751,Finland,51279,Germany,11724
ETH,Ethiopia,Somalia,442910,South Sudan,375202,Eritrea,156030,United States of America,184022,Saudi Arabia,124347,Israel,80474
,,,,,,,,,,,,,
FLK,,Haiti,872,Saint Helena,323,Australia,198,,,,,,
,,,,,,,,,,,,,
FJI,Suva (regiona,Australia,1887,Pakistan,1824,Bangladesh,1366,Australia,72084,New Zealand,54815,United States of America,40737
FIN,,Estonia,51279,Sweden,41265,Russian Federation,14360,Sweden,162067,United States of America,19725,Germany,16290
FRA,France,Algeria,1430656,Morocco,926466,Portugal,713158,Spain,201769,Belgium,170858,United States of America,166729
,,,,,,,,,,,,,
PYF,,France,20918,New Caledonia,2123,Algeria,681,Australia,549,Ecuador,373,Poland,141
,,,,,,,,,,,,,
GAB,Gabon,Equatorial Guinea,56283,Mali,35709,Benin,33794,Mali,33255,France,19780,Congo,3163
GMB,Gambia,Senegal,118452,Guinea,40369,Guinea Bissau,12328,United States of America,20877,Spain,16954,United Kingdom of Great Britain and Northern Ireland,12194
PSE,Israel and th,Israel,62895,Jordan,55709,Saudi Arabia,21778,Jordan,2142755,Lebanon,515550,Libya,286136
GEO,Georgia,Russian Federation,92937,Ukraine,22263,Kazakhstan,10763,Russian Federation,450221,Greece,83388,Ukraine,64399
DEU,,Poland,1930136,Turkey,1655996,Russian Federation,1080503,United States of America,627493,Switzerland,362506,United Kingdom of Great Britain and Northern Ireland,322220
GHA,Ghana,Togo,87494,Nigeria,67629,Burkina Faso,57733,Nigeria,222377,United States of America,134338,United Kingdom of Great Britain and Northern Ireland,102837
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GRC,,Albania,437356,Germany,114343,Georgia,83388,Germany,215059,United States of America,141257,Australia,126551
,,,,,,,,,,,,,
GRD,Caribbean Com,Trinidad and Tobago,2196,United States Virgin Islands,704,Belgium,377,United States of America,32460,Canada,11524,United Kingdom of Great Britain and Northern Ireland,10009
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GTM,Guatemala,El Salvador,19198,Mexico,17540,United States of America,8643,United States of America,881191,Mexico,53128,Belize,23231
,,,,,,,,,,,,,
GIN,Guinea,Mali,61197,Liberia,32706,Senegal,26640,Cte d'Ivoire,94980,Sierra Leone,68467,Senegal,49780
GNB,Guinea-Bissau,Senegal,11087,Guinea,4938,Dominica,1495,Senegal,28501,Portugal,27517,Gambia,12328
GUY,Caribbean Com,Suriname,4595,Brazil,2135,United States of America,1255,United States of America,269778,Canada,96531,United Kingdom of Great Britain and Northern Ireland,23458
HTI,Haiti,Dominican Republic,4984,Chile,3328,Puerto Rico,3201,United States of America,604004,Dominican Republic,329281,Canada,93443
,,,,,,,,,,,,,
VAT,,Afghanistan,0,Afghanistan,0,Afghanistan,0,Grenada,178,Ireland,2,Thailand,1
HND,Other Mexico,El Salvador,6486,Nicaragua,5690,Ukraine,4981,United States of America,530645,Spain,37194,Mexico,15027
,,,,,,,,,,,,,
,,,,,,,,,,,,,
HUN,,Romania,204603,Serbia,38724,Ukraine,34369,Germany,172755,United States of America,77670,United Kingdom of Great Britain and Northern Ireland,56166
ISL,,Poland,10440,Denmark,3333,Spain,2068,Denmark,8429,Norway,8274,Sweden,5454
IDN,Jakarta (regi,China,70319,Republic of Korea,31064,United Kingdom of Great Britain and Northern Ireland,30446,Saudi Arabia,1294035,Malaysia,1070433,United Arab Emirates,260312
IRQ,Iraq,Syrian Arab Republic,246556,Turkey,17515,Egypt,14364,Syrian Arab Republic,253609,United States of America,175566,Sweden,133118
IRL,,United Kingdom of Great Britain and Northern Ireland,254761,Poland,127507,Lithuania,38572,United Kingdom of Great Britain and Northern Ireland,503288,United States of America,132280,Australia,101032
,,,,,,,,,,,,,
ISR,Israel and th,Morocco,163113,Ukraine,135112,Russian Federation,114630,United States of America,135963,State of Palestine,62895,Canada,27304
ITA,,Romania,1021613,Albania,447586,Morocco,425238,Germany,414476,United States of America,376130,France,367593
JAM,Caribbean Com,United States of America,6193,United Kingdom of Great Britain and Northern Ireland,4739,Trinidad and Tobago,2299,United States of America,712830,United Kingdom of Great Britain and Northern Ireland,172829,Canada,140185
JPN,Kuala Lumpur,China,652413,Republic of Korea,522486,Philippines,210243,United States of America,345026,Brazil,58564,Australia,53159
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
JOR,Jordan,State of Palestine,2142755,Syrian Arab Republic,700266,Egypt,138939,Saudi Arabia,182152,United Arab Emirates,167585,United States of America,64868
,,,,,,,,,,,,,
KEN,Kenya,Somalia,488470,Uganda,333789,South Sudan,92355,United Kingdom of Great Britain and Northern Ireland,151073,United States of America,105467,Uganda,43512
,,,,,,,,,,,,,
KIR,Suva (regiona,Nauru,1590,Belgium,537,Bahamas,316,New Zealand,1533,Cyprus,865,Fiji,775
,,,,,,,,,,,,,
KWT,Kuwait (regio,India,1061758,Egypt,387993,Bangladesh,350229,United Arab Emirates,62546,United States of America,25434,State of Palestine,17111
KGZ,Kyrgyzstan,Russian Federation,111753,Ukraine,26771,Kazakhstan,12940,Russian Federation,591349,Germany,83673,Ukraine,26729
LAO,Lao People?s,Viet Nam,11634,China,3114,Democratic Republic of the Congo,1688,,,,,,
LVA,,Russian Federation,137224,Belarus,45962,Ukraine,33493,Russian Federation,89389,United Kingdom of Great Britain and Northern Ireland,66046,Germany,30712
LBN,Lebanon,Syrian Arab Republic,1255494,State of Palestine,515550,Iraq,120668,United States of America,123337,Saudi Arabia,116577,Australia,96306
LSO,Other Pretoar,South Africa,2610,Australia,228,Australia,228,South Africa,350611,Mozambique,7840,Switzerland,3258
,,,,,,,,,,,,,
LBR,Liberia,Cte d Ivoire,40985,Guinea,37380,Sierra Leone,11413,Cte d'Ivoire,82428,United States of America,75408,Guinea,32706
LBY,Other Tunis R,State of Palestine,286136,Somalia,104539,Iraq,68477,Italy,36222,United Kingdom of Great Britain and Northern Ireland,17684,Israel,17273
LIE,,Switzerland,12862,Austria,3868,Germany,1810,Switzerland,2491,Cyprus,378,Colombia,307
LTU,,Russian Federation,59466,Belarus,35005,Philippines,12248,United Kingdom of Great Britain and Northern Ireland,116861,Russian Federation,71078,Poland,50444
LUX,,Portugal,94851,France,36242,Italy,20657,Germany,20941,France,12888,Belgium,4858
,,,,,,,,,,,,,
MDG,Madagascar,Comoros,10953,France,8950,China,1979,France,120400,Runion,16763,Comoros,9651
,,,,,,,,,,,,,
MWI,Other Harare,Mozambique,54183,Zambia,42362,Zimbabwe,36753,Zimbabwe,102849,Mozambique,77488,South Africa,76605
MYS,Kuala Lumpur,Indonesia,1070433,Bangladesh,358432,Myanmar,252292,Singapore,1123654,Bangladesh,233561,Australia,156934
MDV,India,Bangladesh,53565,India,22120,Sri Lanka,9448,Sri Lanka,1364,Australia,538,Libya,402
MLI,Mali,Gabon,33255,Congo,29972,Burkina Faso,23922,Cte d'Ivoire,356019,Nigeria,160967,Niger,84640
MLT,,United Kingdom of Great Britain and Northern Ireland,12046,Australia,5053,Canada,2053,Australia,49224,United Kingdom of Great Britain and Northern Ireland,31758,Canada,8164
MHL,Suva (regiona,United Arab Emirates,1430,Philippines,541,China,318,United States of America,6481,Russian Federation,234,Cuba,92
,,,,,,,,,,,,,
MRT,Other Tunis R,Mali,56557,Senegal,38574,Guinea,3105,Senegal,51490,France,17768,Mali,17189
MUS,Other Nairobi,India,8651,Bangladesh,8327,Canada,2951,United Kingdom of Great Britain and Northern Ireland,45123,France,44337,Australia,28779
,,,,,,,,,,,,,
MEX,Other Mexico,United States of America,876528,Guatemala,53128,Spain,26909,United States of America,12050031,Canada,93557,Spain,46867
FSM,Suva (regiona,Dominica,280,Canada,172,Albania,125,,,,,,
,,,,,,,,,,,,,
MCO,,France,6371,Italy,4424,Afghanistan,0,France,24947,Canada,1617,Bahrain,430
MNG,Mongolia,China,9373,Russian Federation,2670,Republic of Korea,1643,Russian Federation,21144,Republic of Korea,18407,Czech Republic,4500
MNE,Other W. Balk,Bosnia and Herzegovina,34259,Serbia,17433,Croatia,16344,Serbia,71224,Austria,21842,The former Yugoslav Republic of Macedonia,9229
,,,,,,,,,,,,,
MAR,Morocco,France,29271,Algeria,13664,Spain,4167,France,926466,Spain,699800,Italy,425238
MOZ,Other Pretoar,Malawi,77488,Zimbabwe,25429,South Africa,8897,South Africa,449710,Zimbabwe,94382,Portugal,67991
NAM,Other Harare,Angola,33980,Zimbabwe,13247,Germany,8309,South Africa,133282,Kyrgyzstan,2649,Botswana,1845
NRU,Suva (regiona,Ireland,865,Barbados,368,Chile,229,Kiribati,1590,Netherlands,728,Slovenia,30
,,,,,,,,,,,,,
NLD,,Turkey,199551,Suriname,186783,Morocco,172291,Belgium,160363,Germany,139292,Canada,109581
,,,,,,,,,,,,,
NCL,,France,37966,Wallis and Futuna Islands,7794,Guinea,4938,French Polynesia,2123,Australia,1878,Wallis and Futuna Islands,1766
NZL,Suva (regiona,United Kingdom of Great Britain and Northern Ireland,265014,China,92602,India,69800,Australia,642271,United Kingdom of Great Britain and Northern Ireland,67276,United States of America,30794
